Frequency (Hz)	Level (dB)
21.533203	-55.901386
43.066406	-45.173496
64.599609	-47.190201
86.132812	-57.125763
107.666016	-56.073284
129.199219	-66.187675
150.732422	-73.817688
172.265625	-78.568771
193.798828	-75.582886
215.332031	-77.874481
236.865234	-82.266518
258.398438	-80.294594
279.931641	-73.973923
301.464844	-69.145569
322.998047	-72.675262
344.531250	-68.844269
366.064453	-71.252625
387.597656	-77.109962
409.130859	-77.506302
430.664062	-77.912407
452.197266	-73.043243
473.730469	-78.360237
495.263672	-79.201096
516.796875	-76.653419
538.330078	-74.260529
559.863281	-75.216812
581.396484	-78.589729
602.929688	-80.390778
624.462891	-80.298668
645.996094	-73.781746
667.529297	-76.520798
689.062500	-84.963097
710.595703	-87.615990
732.128906	-83.262939
753.662109	-79.019279
775.195312	-85.003479
796.728516	-82.601158
818.261719	-85.415321
839.794922	-88.162605
861.328125	-87.752464
882.861328	-91.862030
904.394531	-90.462517
925.927734	-82.116989
947.460938	-73.926712
968.994141	-77.418655
990.527344	-86.657295
1012.060547	-86.813293
1033.593750	-88.678055
1055.126953	-86.103828
1076.660156	-90.798203
1098.193359	-91.671387
1119.726562	-92.445267
1141.259766	-88.029388
1162.792969	-88.031593
1184.326172	-92.911705
1205.859375	-91.855598
1227.392578	-86.844765
1248.925781	-79.772293
1270.458984	-83.809097
1291.992188	-90.477959
1313.525391	-90.870247
1335.058594	-90.856186
1356.591797	-87.367332
1378.125000	-89.345955
1399.658203	-88.552895
1421.191406	-92.132462
1442.724609	-94.496254
1464.257812	-94.633812
1485.791016	-91.962601
1507.324219	-88.560257
1528.857422	-86.654938
1550.390625	-84.657204
1571.923828	-85.890053
1593.457031	-87.720123
1614.990234	-89.478928
1636.523438	-89.828888
1658.056641	-88.938721
1679.589844	-91.804184
1701.123047	-87.593872
1722.656250	-85.015282
1744.189453	-82.046204
1765.722656	-81.095108
1787.255859	-81.111977
1808.789062	-80.613823
1830.322266	-80.540169
1851.855469	-81.587135
1873.388672	-83.335213
1894.921875	-83.332802
1916.455078	-83.008514
1937.988281	-83.058090
1959.521484	-80.863213
1981.054688	-78.763199
2002.587891	-78.139351
2024.121094	-78.258820
2045.654297	-77.590660
2067.187500	-77.548958
2088.720703	-78.708282
2110.253906	-80.510437
2131.787109	-81.489586
2153.320312	-80.809067
2174.853516	-80.661690
2196.386719	-81.881081
2217.919922	-84.462746
2239.453125	-87.132965
2260.986328	-90.214813
2282.519531	-93.133705
2304.052734	-95.273308
2325.585938	-97.657806
2347.119141	-90.773697
2368.652344	-88.965576
2390.185547	-86.559677
2411.718750	-84.416206
2433.251953	-83.927582
2454.785156	-85.331970
2476.318359	-88.674965
2497.851562	-90.652481
2519.384766	-91.471825
2540.917969	-92.178970
2562.451172	-93.002144
2583.984375	-96.657661
2605.517578	-99.650055
2627.050781	-96.032677
2648.583984	-91.452927
2670.117188	-88.317436
2691.650391	-86.610664
2713.183594	-85.565346
2734.716797	-85.468887
2756.250000	-85.838554
2777.783203	-85.923653
2799.316406	-85.305161
2820.849609	-85.577560
2842.382812	-86.082275
2863.916016	-86.714752
2885.449219	-87.460487
2906.982422	-87.895721
2928.515625	-89.071350
2950.048828	-89.837799
2971.582031	-91.312500
2993.115234	-94.235558
3014.648438	-97.658096
3036.181641	-97.008774
3057.714844	-92.987953
3079.248047	-90.363182
3100.781250	-87.422569
3122.314453	-85.082413
3143.847656	-83.386360
3165.380859	-82.533485
3186.914062	-83.055466
3208.447266	-84.151207
3229.980469	-85.668373
3251.513672	-87.391052
3273.046875	-85.968246
3294.580078	-82.410767
3316.113281	-79.726013
3337.646484	-78.553719
3359.179688	-78.302948
3380.712891	-78.210114
3402.246094	-78.354561
3423.779297	-79.133392
3445.312500	-80.184937
3466.845703	-82.110970
3488.378906	-84.622963
3509.912109	-86.596039
3531.445312	-87.686714
3552.978516	-87.712669
3574.511719	-88.358192
3596.044922	-88.882683
3617.578125	-89.478577
3639.111328	-90.236412
3660.644531	-90.089767
3682.177734	-90.274963
3703.710938	-90.022789
3725.244141	-90.249863
3746.777344	-90.773605
3768.310547	-93.226715
3789.843750	-97.901375
3811.376953	-101.109306
3832.910156	-97.319214
3854.443359	-91.443123
3875.976562	-88.003769
3897.509766	-84.460609
3919.042969	-81.624405
3940.576172	-79.860748
3962.109375	-78.619560
3983.642578	-77.503273
4005.175781	-77.228760
4026.708984	-77.253113
4048.242188	-77.967926
4069.775391	-79.201645
4091.308594	-81.909859
4112.841797	-85.118614
4134.375000	-88.381638
4155.908203	-90.318062
4177.441406	-92.037003
4198.974609	-92.923767
4220.507812	-93.220718
4242.041016	-93.400597
4263.574219	-94.407341
4285.107422	-96.398834
4306.640625	-96.006325
4328.173828	-94.762329
4349.707031	-92.684654
4371.240234	-90.709023
4392.773438	-88.420364
4414.306641	-86.940384
4435.839844	-85.524338
4457.373047	-84.078552
4478.906250	-82.719307
4500.439453	-81.955849
4521.972656	-82.205673
4543.505859	-82.448608
4565.039062	-82.580933
4586.572266	-82.829964
4608.105469	-82.131851
4629.638672	-81.666473
4651.171875	-81.478676
4672.705078	-81.637184
4694.238281	-81.700012
