Frequency (Hz)	Level (dB)
21.533203	-56.434975
43.066406	-45.781860
64.599609	-47.854992
86.132812	-60.050819
107.666016	-57.508022
129.199219	-65.440895
150.732422	-75.674759
172.265625	-75.312607
193.798828	-74.673279
215.332031	-79.539925
236.865234	-81.961639
258.398438	-80.158829
279.931641	-77.492760
301.464844	-72.809837
322.998047	-75.937149
344.531250	-69.904076
366.064453	-72.800987
387.597656	-80.228928
409.130859	-79.324379
430.664062	-76.776703
452.197266	-72.605858
473.730469	-75.162094
495.263672	-77.422554
516.796875	-82.761757
538.330078	-82.786003
559.863281	-81.014114
581.396484	-80.951447
602.929688	-81.784149
624.462891	-79.720642
645.996094	-71.943626
667.529297	-75.703255
689.062500	-90.195442
710.595703	-90.439331
732.128906	-83.562431
753.662109	-79.967361
775.195312	-87.146515
796.728516	-86.021126
818.261719	-89.504364
839.794922	-88.344566
861.328125	-88.509377
882.861328	-93.764389
904.394531	-92.135498
925.927734	-82.655052
947.460938	-75.366806
968.994141	-77.966698
990.527344	-78.901871
1012.060547	-82.159836
1033.593750	-88.377136
1055.126953	-89.510605
1076.660156	-91.406158
1098.193359	-91.479660
1119.726562	-92.177513
1141.259766	-87.147537
1162.792969	-88.235977
1184.326172	-95.186943
1205.859375	-95.476868
1227.392578	-89.698624
1248.925781	-84.130478
1270.458984	-88.219879
1291.992188	-92.534309
1313.525391	-94.390533
1335.058594	-92.876869
1356.591797	-91.702721
1378.125000	-97.005142
1399.658203	-95.303581
1421.191406	-94.590065
1442.724609	-91.574692
1464.257812	-90.665161
1485.791016	-89.148941
1507.324219	-88.456551
1528.857422	-89.189575
1550.390625	-89.721085
1571.923828	-91.145676
1593.457031	-91.125175
1614.990234	-90.329247
1636.523438	-88.709846
1658.056641	-88.017723
1679.589844	-87.898933
1701.123047	-86.965202
1722.656250	-85.913010
1744.189453	-83.029602
1765.722656	-84.918495
1787.255859	-88.500839
1808.789062	-87.902298
1830.322266	-85.866257
1851.855469	-83.647331
1873.388672	-81.973709
1894.921875	-80.205521
1916.455078	-78.369080
1937.988281	-76.183884
1959.521484	-74.337189
1981.054688	-72.758713
2002.587891	-70.771629
2024.121094	-68.966476
2045.654297	-66.887627
2067.187500	-66.108986
2088.720703	-66.919197
2110.253906	-69.007103
2131.787109	-71.125221
2153.320312	-73.517204
2174.853516	-76.706017
2196.386719	-79.195122
2217.919922	-80.441719
2239.453125	-80.620453
2260.986328	-81.485626
2282.519531	-83.608917
2304.052734	-84.937119
2325.585938	-84.712677
2347.119141	-84.312729
2368.652344	-85.790138
2390.185547	-85.752876
2411.718750	-85.100494
2433.251953	-84.717773
2454.785156	-84.994034
2476.318359	-86.334137
2497.851562	-88.887581
2519.384766	-93.303772
2540.917969	-98.521080
2562.451172	-103.022766
2583.984375	-99.126381
2605.517578	-94.670883
2627.050781	-90.913773
2648.583984	-87.806412
2670.117188	-86.406250
2691.650391	-85.865036
2713.183594	-85.300522
2734.716797	-84.949234
2756.250000	-85.247765
2777.783203	-85.305916
2799.316406	-85.410355
2820.849609	-86.418922
2842.382812	-87.766472
2863.916016	-89.123253
2885.449219	-89.518959
2906.982422	-89.393822
2928.515625	-89.724609
2950.048828	-90.068069
2971.582031	-89.817108
2993.115234	-89.409554
3014.648438	-89.276115
3036.181641	-88.284721
3057.714844	-87.091537
3079.248047	-87.347984
3100.781250	-87.339027
3122.314453	-88.935310
3143.847656	-89.645409
3165.380859	-88.407707
3186.914062	-90.106094
3208.447266	-92.823608
3229.980469	-87.297035
3251.513672	-83.241165
3273.046875	-81.072372
3294.580078	-79.796562
3316.113281	-80.029121
3337.646484	-82.242653
3359.179688	-85.690407
3380.712891	-90.037247
3402.246094	-93.478714
3423.779297	-92.949776
3445.312500	-91.855286
3466.845703	-95.512047
3488.378906	-101.487709
3509.912109	-100.892860
3531.445312	-96.604736
3552.978516	-95.009468
3574.511719	-95.966751
3596.044922	-97.619408
3617.578125	-98.724747
3639.111328	-97.937233
3660.644531	-97.450272
3682.177734	-97.584328
3703.710938	-99.011986
3725.244141	-102.701927
3746.777344	-101.146255
3768.310547	-99.452759
3789.843750	-96.038857
3811.376953	-93.088959
3832.910156	-91.066330
3854.443359	-89.561813
3875.976562	-88.695801
3897.509766	-88.014030
3919.042969	-87.942513
3940.576172	-88.173721
3962.109375	-87.532143
3983.642578	-85.750450
4005.175781	-84.225372
4026.708984	-82.912994
4048.242188	-81.557632
4069.775391	-80.304710
4091.308594	-79.987167
4112.841797	-79.792419
4134.375000	-79.554062
4155.908203	-78.661888
4177.441406	-77.646965
4198.974609	-77.270485
4220.507812	-77.260292
4242.041016	-77.441986
4263.574219	-78.132820
4285.107422	-78.993820
4306.640625	-79.554962
4328.173828	-79.836227
4349.707031	-80.355583
4371.240234	-81.380386
4392.773438	-82.835915
4414.306641	-85.388885
4435.839844	-90.022812
4457.373047	-94.983795
4478.906250	-91.854210
4500.439453	-87.307693
4521.972656	-84.449142
4543.505859	-82.140167
4565.039062	-80.671432
4586.572266	-80.089874
4608.105469	-79.468307
4629.638672	-79.086372
4651.171875	-78.573997
4672.705078	-78.017456
4694.238281	-77.405739
4715.771484	-76.798538
4737.304688	-76.657227
4758.837891	-77.002213
4780.371094	-77.624893
4801.904297	-78.522141
4823.437500	-79.361809
4844.970703	-80.550278
4866.503906	-81.350647
4888.037109	-82.725456
4909.570312	-84.074577
4931.103516	-86.597015
4952.636719	-90.871201
4974.169922	-92.368660
4995.703125	-87.261864
5017.236328	-83.905052
5038.769531	-82.512657
5060.302734	-82.349037
5081.835938	-83.117432
5103.369141	-84.016571
5124.902344	-84.760933
5146.435547	-84.835808
5167.968750	-85.000664
5189.501953	-85.873741
5211.035156	-87.355484
5232.568359	-88.598213
5254.101562	-89.459740
5275.634766	-89.447670
5297.167969	-87.325684
5318.701172	-85.469521
5340.234375	-84.034714
5361.767578	-82.929680
5383.300781	-81.848770
5404.833984	-81.622696
5426.367188	-82.418625
5447.900391	-83.297134
5469.433594	-84.613968
5490.966797	-84.881828
5512.500000	-83.756165
5534.033203	-82.176750
5555.566406	-80.672050
5577.099609	-80.343079
5598.632812	-79.787170
5620.166016	-78.932327
5641.699219	-78.238312
5663.232422	-77.701805
5684.765625	-76.359573
5706.298828	-74.710098
5727.832031	-72.726967
5749.365234	-70.993729
5770.898438	-69.650620
5792.431641	-68.757080
5813.964844	-68.880333
5835.498047	-69.378479
5857.031250	-70.404861
5878.564453	-71.448822
5900.097656	-71.954887
5921.630859	-71.681061
5943.164062	-71.224892
5964.697266	-71.089928
5986.230469	-70.633217
6007.763672	-69.846184
6029.296875	-68.809448
6050.830078	-67.647957
6072.363281	-66.753159
6093.896484	-65.766960
6115.429688	-64.761436
6136.962891	-64.164444
6158.496094	-63.634708
6180.029297	-63.091251
6201.562500	-62.757061
6223.095703	-62.811092
6244.628906	-63.574703
6266.162109	-63.664196
6287.695312	-64.242783
6309.228516	-65.154427
6330.761719	-66.205330
6352.294922	-67.050285
6373.828125	-68.611328
6395.361328	-70.280342
6416.894531	-71.550117
6438.427734	-71.680145
6459.960938	-70.933548
6481.494141	-69.467407
6503.027344	-68.070045
6524.560547	-67.111099
6546.093750	-66.373352
6567.626953	-65.829895
6589.160156	-65.900734
6610.693359	-66.488098
6632.226562	-67.553772
6653.759766	-68.857124
6675.292969	-69.861046
6696.826172	-69.396584
6718.359375	-68.956581
6739.892578	-69.126114
6761.425781	-69.122391
6782.958984	-69.891479
6804.492188	-70.296692
6826.025391	-71.043930
6847.558594	-71.660927
6869.091797	-71.636360
6890.625000	-72.230019
6912.158203	-72.408142
6933.691406	-72.456139
6955.224609	-72.798569
6976.757812	-73.705635
6998.291016	-74.282120
7019.824219	-75.090721
7041.357422	-75.749977
7062.890625	-76.361641
7084.423828	-77.048523
7105.957031	-77.514450
7127.490234	-78.130127
7149.023438	-78.770241
7170.556641	-79.060371
7192.089844	-78.426483
7213.623047	-78.349640
7235.156250	-78.336380
7256.689453	-78.255272
7278.222656	-77.502220
7299.755859	-76.873970
7321.289062	-76.336533
7342.822266	-75.220612
7364.355469	-74.563103
7385.888672	-73.897125
7407.421875	-73.002205
7428.955078	-72.338852
7450.488281	-72.239021
7472.021484	-72.439384
7493.554688	-72.843292
7515.087891	-73.679611
7536.621094	-74.480309
7558.154297	-75.289322
7579.687500	-76.256699
7601.220703	-77.492767
7622.753906	-77.845467
7644.287109	-78.590714
7665.820312	-79.089439
7687.353516	-79.877708
7708.886719	-80.838440
7730.419922	-82.442978
7751.953125	-84.127266
7773.486328	-85.411697
7795.019531	-87.822227
7816.552734	-89.743408
7838.085938	-91.328644
7859.619141	-93.213013
7881.152344	-95.464027
7902.685547	-97.938133
7924.218750	-99.669174
7945.751953	-99.419281
7967.285156	-98.478943
7988.818359	-97.742172
8010.351562	-97.206009
8031.884766	-95.911041
8053.417969	-93.721138
8074.951172	-91.907845
8096.484375	-91.034370
8118.017578	-90.606133
8139.550781	-90.531372
8161.083984	-91.249733
8182.617188	-92.023216
8204.150391	-93.576416
8225.683594	-94.452522
8247.216797	-95.122452
8268.750000	-95.985626
8290.283203	-96.445946
8311.816406	-97.786125
8333.349609	-99.547226
8354.882812	-100.833237
8376.416016	-101.400970
8397.949219	-99.536156
8419.482422	-97.733459
8441.015625	-95.723709
8462.548828	-94.062248
8484.082031	-93.047104
8505.615234	-92.238922
8527.148438	-90.695633
8548.681641	-90.545113
8570.214844	-90.303703
8591.748047	-89.674530
8613.281250	-89.608055
8634.814453	-89.413872
8656.347656	-88.825714
8677.880859	-87.646828
8699.414062	-87.020271
8720.947266	-86.264587
8742.480469	-86.152596
8764.013672	-85.621620
8785.546875	-84.991875
8807.080078	-85.120445
8828.613281	-85.138580
8850.146484	-85.142593
8871.679688	-85.514214
8893.212891	-85.891762
8914.746094	-86.194733
8936.279297	-86.604851
8957.812500	-87.091255
8979.345703	-87.429260
9000.878906	-87.376793
9022.412109	-87.748833
9043.945312	-87.950012
9065.478516	-88.019424
9087.011719	-88.561150
9108.544922	-89.102539
9130.078125	-89.327370
9151.611328	-89.880226
9173.144531	-90.478554
9194.677734	-91.104240
9216.210938	-92.195656
9237.744141	-92.809570
9259.277344	-93.235573
9280.810547	-93.397530
9302.343750	-94.475906
9323.876953	-95.452324
9345.410156	-95.617744
9366.943359	-96.494156
9388.476562	-96.684715
9410.009766	-96.531403
9431.542969	-96.237419
9453.076172	-95.421013
9474.609375	-94.864098
9496.142578	-94.011604
9517.675781	-93.204697
9539.208984	-92.115189
9560.742188	-91.613129
9582.275391	-91.353165
9603.808594	-90.492317
9625.341797	-90.368530
9646.875000	-90.058853
9668.408203	-89.929237
9689.941406	-90.019791
9711.474609	-90.512825
9733.007812	-90.389832
9754.541016	-90.067749
9776.074219	-89.754532
9797.607422	-89.033897
9819.140625	-88.874626
9840.673828	-88.810112
9862.207031	-89.251465
9883.740234	-89.627403
9905.273438	-90.045784
9926.806641	-89.956955
9948.339844	-89.692619
9969.873047	-90.423103
9991.406250	-91.106567
10012.939453	-92.012413
10034.472656	-93.123917
10056.005859	-94.152565
10077.539062	-95.573318
10099.072266	-97.395531
10120.605469	-98.661621
10142.138672	-98.845596
10163.671875	-99.609856
10185.205078	-100.229126
10206.738281	-99.311310
10228.271484	-98.660645
10249.804688	-97.720383
10271.337891	-96.753159
10292.871094	-96.078865
10314.404297	-95.339661
10335.937500	-95.224846
10357.470703	-94.946877
10379.003906	-94.483246
10400.537109	-93.928223
10422.070312	-93.018951
10443.603516	-92.015236
10465.136719	-91.227821
10486.669922	-90.197754
10508.203125	-89.655235
10529.736328	-88.939873
10551.269531	-87.904747
10572.802734	-87.359131
10594.335938	-86.497574
10615.869141	-85.768791
10637.402344	-85.063736
10658.935547	-84.974159
10680.468750	-84.661308
10702.001953	-83.959763
10723.535156	-83.060356
10745.068359	-82.975700
10766.601562	-83.098778
10788.134766	-82.875610
10809.667969	-83.353416
10831.201172	-83.525764
10852.734375	-83.491699
10874.267578	-83.953362
10895.800781	-83.901260
10917.333984	-83.873459
10938.867188	-84.156929
10960.400391	-84.250900
10981.933594	-84.544365
11003.466797	-83.870667
11025.000000	-83.493698
11046.533203	-83.541931
11068.066406	-83.775894
11089.599609	-83.656265
11111.132812	-83.917328
11132.666016	-83.594818
11154.199219	-83.683952
11175.732422	-83.913750
11197.265625	-84.393135
11218.798828	-83.929504
11240.332031	-83.872093
11261.865234	-84.555931
11283.398438	-84.755188
11304.931641	-84.803886
11326.464844	-85.099678
11347.998047	-85.171387
11369.531250	-85.548027
11391.064453	-85.655174
11412.597656	-86.166786
11434.130859	-86.971466
11455.664062	-87.535233
11477.197266	-88.182106
11498.730469	-88.505806
11520.263672	-89.352646
11541.796875	-89.825150
11563.330078	-90.143364
11584.863281	-90.659981
11606.396484	-90.055481
11627.929688	-89.078300
11649.462891	-88.255486
11670.996094	-87.259354
11692.529297	-86.328087
11714.062500	-85.722351
11735.595703	-85.425285
11757.128906	-84.826851
11778.662109	-84.557991
11800.195312	-84.554962
11821.728516	-84.480583
11843.261719	-84.734428
11864.794922	-85.133781
11886.328125	-85.851768
11907.861328	-86.333679
11929.394531	-86.856827
11950.927734	-87.170227
11972.460938	-86.878326
11993.994141	-85.911209
12015.527344	-84.719772
12037.060547	-83.101456
12058.593750	-81.864700
12080.126953	-81.349655
12101.660156	-80.089867
12123.193359	-79.230408
12144.726562	-78.664932
12166.259766	-77.842155
12187.792969	-77.626488
12209.326172	-77.161942
12230.859375	-76.880714
12252.392578	-76.846695
12273.925781	-76.979904
12295.458984	-77.208664
12316.992188	-77.163101
12338.525391	-77.292633
12360.058594	-77.916435
12381.591797	-78.773743
12403.125000	-79.099052
12424.658203	-79.629303
12446.191406	-80.273216
12467.724609	-81.011490
12489.257812	-81.750679
12510.791016	-82.632637
12532.324219	-83.954269
12553.857422	-84.708992
12575.390625	-84.734222
12596.923828	-84.799896
12618.457031	-84.869789
12639.990234	-84.812424
12661.523438	-84.427422
12683.056641	-83.679962
12704.589844	-82.971802
12726.123047	-82.699066
12747.656250	-82.142319
12769.189453	-81.700943
12790.722656	-81.454903
12812.255859	-81.174500
12833.789062	-81.130943
12855.322266	-81.155197
12876.855469	-80.926567
12898.388672	-81.092560
12919.921875	-81.470062
12941.455078	-81.826759
12962.988281	-81.547264
12984.521484	-81.631111
13006.054688	-81.618858
13027.587891	-81.660782
13049.121094	-81.498459
13070.654297	-81.265900
13092.187500	-81.117531
13113.720703	-80.902054
13135.253906	-80.523926
13156.787109	-80.088814
13178.320312	-79.994301
13199.853516	-79.606438
13221.386719	-79.590256
13242.919922	-79.647636
13264.453125	-79.479568
13285.986328	-79.647987
13307.519531	-80.154922
13329.052734	-80.346046
13350.585938	-80.481239
13372.119141	-80.870903
13393.652344	-81.026405
13415.185547	-81.267776
13436.718750	-81.799286
13458.251953	-82.476707
13479.785156	-83.137680
13501.318359	-83.614449
13522.851562	-84.498070
13544.384766	-85.848747
13565.917969	-86.420952
13587.451172	-86.860878
13608.984375	-87.674324
13630.517578	-88.706726
13652.050781	-89.135117
13673.583984	-89.322861
13695.117188	-89.290619
13716.650391	-88.888329
13738.183594	-88.335983
13759.716797	-88.119781
13781.250000	-88.122391
13802.783203	-88.027710
13824.316406	-87.685440
13845.849609	-87.445496
13867.382812	-87.600388
13888.916016	-87.664833
13910.449219	-88.421013
13931.982422	-89.121758
13953.515625	-89.212959
13975.048828	-89.665428
13996.582031	-89.844009
14018.115234	-89.690155
14039.648438	-89.243378
14061.181641	-89.326286
14082.714844	-89.149872
14104.248047	-88.656876
14125.781250	-88.208771
14147.314453	-87.365219
14168.847656	-86.464134
14190.380859	-85.943253
14211.914062	-85.384399
14233.447266	-84.475418
14254.980469	-83.958687
14276.513672	-84.024101
14298.046875	-84.369370
14319.580078	-83.795197
14341.113281	-83.434875
14362.646484	-83.546555
14384.179688	-83.227760
14405.712891	-83.651611
14427.246094	-84.298912
14448.779297	-84.415604
14470.312500	-84.638451
14491.845703	-85.754471
14513.378906	-86.613869
14534.912109	-87.472954
14556.445312	-87.826309
14577.978516	-88.465950
14599.511719	-89.011787
14621.044922	-89.309357
14642.578125	-89.595169
14664.111328	-89.711914
14685.644531	-89.295326
14707.177734	-88.439362
14728.710938	-88.231453
14750.244141	-87.995773
14771.777344	-88.315903
14793.310547	-88.622833
14814.843750	-89.089767
14836.376953	-89.328026
14857.910156	-89.414581
14879.443359	-89.888336
14900.976562	-90.767769
14922.509766	-91.914497
14944.042969	-92.640205
14965.576172	-93.441383
14987.109375	-93.839638
15008.642578	-93.870964
15030.175781	-93.601021
15051.708984	-93.016502
15073.242188	-92.846092
15094.775391	-92.091492
15116.308594	-91.363174
15137.841797	-91.181328
15159.375000	-91.267906
15180.908203	-90.895370
15202.441406	-90.739777
15223.974609	-90.706779
15245.507812	-90.578636
15267.041016	-91.020203
15288.574219	-91.291481
15310.107422	-91.226326
15331.640625	-91.228584
15353.173828	-91.242119
15374.707031	-91.289909
15396.240234	-91.185181
15417.773438	-91.129143
15439.306641	-91.165398
15460.839844	-91.129723
15482.373047	-91.358528
15503.906250	-91.219299
15525.439453	-91.352264
15546.972656	-91.294144
15568.505859	-91.292679
15590.039062	-91.388504
15611.572266	-91.322296
15633.105469	-91.520363
15654.638672	-91.878555
15676.171875	-92.383789
15697.705078	-92.346542
15719.238281	-92.521759
15740.771484	-92.395195
15762.304688	-92.551384
15783.837891	-92.864975
15805.371094	-93.270599
15826.904297	-92.910713
15848.437500	-92.433731
15869.970703	-93.087799
15891.503906	-92.917130
15913.037109	-93.057167
15934.570312	-92.803383
15956.103516	-92.445389
15977.636719	-92.351791
15999.169922	-92.328293
16020.703125	-92.179451
16042.236328	-92.136925
16063.769531	-92.366158
16085.302734	-92.890305
16106.835938	-92.771149
16128.369141	-92.954575
16149.902344	-93.291809
16171.435547	-93.797478
16192.968750	-94.236420
16214.501953	-95.128601
16236.035156	-95.764046
16257.568359	-96.440323
16279.101562	-97.482964
16300.634766	-98.606461
16322.167969	-99.892303
16343.701172	-100.156830
16365.234375	-101.737343
16386.767578	-103.055290
16408.300781	-103.592010
16429.833984	-102.770317
16451.367188	-100.923737
16472.900391	-100.725639
16494.433594	-99.617531
16515.966797	-98.667221
16537.500000	-97.856140
16559.033203	-97.063499
16580.566406	-97.089470
16602.099609	-96.574745
16623.632812	-95.948769
16645.166016	-95.405716
16666.699219	-95.814278
16688.232422	-95.751854
16709.765625	-95.487030
16731.298828	-95.777222
16752.832031	-95.441887
16774.365234	-95.420067
16795.898438	-95.393707
16817.431641	-95.450912
16838.964844	-94.979401
16860.498047	-94.996170
16882.031250	-95.145149
16903.564453	-95.452126
16925.097656	-95.730721
16946.630859	-95.026367
16968.164062	-95.027916
16989.697266	-94.853638
17011.230469	-94.672104
17032.763672	-94.149498
17054.296875	-94.243752
17075.830078	-94.666313
17097.363281	-94.139099
17118.896484	-94.040993
17140.429688	-93.636620
17161.962891	-93.690331
17183.496094	-93.734688
17205.029297	-93.577545
17226.562500	-93.681587
17248.095703	-93.910652
17269.628906	-93.948502
17291.162109	-93.814674
17312.695312	-93.502602
17334.228516	-93.902626
17355.761719	-93.843422
17377.294922	-93.765762
17398.828125	-93.830025
17420.361328	-94.073654
17441.894531	-93.835480
17463.427734	-93.660507
17484.960938	-93.330574
17506.494141	-93.400192
17528.027344	-93.885201
17549.560547	-93.532410
17571.093750	-93.321602
17592.626953	-93.476982
17614.160156	-93.669876
17635.693359	-93.660202
17657.226562	-93.580566
17678.759766	-93.906845
17700.292969	-94.053085
17721.826172	-94.165237
17743.359375	-93.869476
17764.892578	-94.564911
17786.425781	-94.682999
17807.958984	-94.843422
17829.492188	-94.874397
17851.025391	-94.867325
17872.558594	-95.410248
17894.091797	-95.599655
17915.625000	-95.779549
17937.158203	-95.432785
17958.691406	-95.182709
17980.224609	-92.117775
18001.757812	-94.138351
18023.291016	-97.721947
18044.824219	-96.816246
18066.357422	-98.063301
18087.890625	-98.433243
18109.423828	-98.599670
18130.957031	-98.343132
18152.490234	-97.531975
18174.023438	-98.581474
18195.556641	-98.617874
18217.089844	-99.024864
18238.623047	-97.761238
18260.156250	-98.027924
18281.689453	-98.651657
18303.222656	-98.686722
18324.755859	-98.421730
18346.289062	-97.319832
18367.822266	-98.203415
18389.355469	-97.852844
18410.888672	-98.062103
18432.421875	-97.447365
18453.955078	-96.810371
18475.488281	-98.022636
18497.021484	-98.522675
18518.554688	-98.353226
18540.087891	-97.105896
18561.621094	-97.432594
18583.154297	-98.121140
18604.687500	-98.141769
18626.220703	-97.556427
18647.753906	-96.568832
18669.287109	-97.823967
18690.820312	-98.130524
18712.353516	-98.036316
18733.886719	-97.130806
18755.419922	-96.855171
18776.953125	-98.136208
18798.486328	-98.148911
18820.019531	-98.041733
18841.552734	-96.304497
18863.085938	-97.358688
18884.619141	-98.144012
18906.152344	-98.310898
18927.685547	-97.626625
18949.218750	-96.486061
18970.751953	-98.311668
18992.285156	-98.348679
19013.818359	-98.349106
19035.351562	-97.235901
19056.884766	-97.183716
19078.417969	-98.146347
19099.951172	-98.126961
19121.484375	-97.693924
19143.017578	-96.059326
19164.550781	-97.364136
19186.083984	-97.930580
19207.617188	-97.617760
19229.150391	-96.971161
19250.683594	-96.065407
19272.216797	-97.485336
19293.750000	-97.597198
19315.283203	-97.851120
19336.816406	-96.599258
19358.349609	-96.863190
19379.882812	-97.069786
19401.416016	-96.084656
19422.949219	-96.987732
19444.482422	-95.952194
19466.015625	-97.265724
19487.548828	-96.607254
19509.082031	-96.491478
19530.615234	-96.866081
19552.148438	-96.592873
19573.681641	-97.619164
19595.214844	-97.667130
19616.748047	-97.533409
19638.281250	-96.290825
19659.814453	-96.990334
19681.347656	-97.189423
19702.880859	-96.362099
19724.414062	-96.792244
19745.947266	-95.710762
19767.480469	-96.903267
19789.013672	-96.523300
19810.546875	-96.837502
19832.080078	-96.977112
19853.613281	-96.684509
19875.146484	-96.943718
19896.679688	-96.782120
19918.212891	-97.240936
19939.746094	-96.306458
19961.279297	-96.762581
19982.812500	-97.103874
20004.345703	-96.887299
20025.878906	-97.153755
20047.412109	-96.745445
20068.945312	-97.627457
20090.478516	-97.007118
20112.011719	-97.082596
20133.544922	-96.840752
20155.078125	-96.675034
20176.611328	-97.595619
20198.144531	-97.367165
20219.677734	-97.637840
20241.210938	-96.786133
20262.744141	-97.383514
20284.277344	-97.605980
20305.810547	-97.669655
20327.343750	-97.604446
20348.876953	-96.913773
20370.410156	-97.690659
20391.943359	-98.075974
20413.476562	-97.980377
20435.009766	-97.405518
20456.542969	-97.335785
20478.076172	-98.291267
20499.609375	-97.979210
20521.142578	-98.153267
20542.675781	-97.763245
20564.208984	-98.232376
20585.742188	-98.407852
20607.275391	-98.383896
20628.808594	-98.054276
20650.341797	-97.999954
20671.875000	-98.547218
20693.408203	-98.483681
20714.941406	-98.788361
20736.474609	-99.015869
20758.007812	-98.750839
20779.541016	-98.995445
20801.074219	-99.253777
20822.607422	-99.328873
20844.140625	-99.293953
20865.673828	-99.472427
20887.207031	-99.437065
20908.740234	-99.907288
20930.273438	-99.965309
20951.806641	-100.049103
20973.339844	-100.262688
20994.873047	-100.327377
21016.406250	-100.442917
21037.939453	-100.909264
21059.472656	-100.843788
21081.005859	-101.087196
21102.539062	-101.650223
21124.072266	-101.945152
21145.605469	-101.746933
21167.138672	-101.761795
21188.671875	-101.807945
21210.205078	-101.956139
21231.738281	-102.060547
21253.271484	-101.801544
21274.804688	-101.823814
21296.337891	-101.707214
21317.871094	-101.985489
21339.404297	-102.207779
21360.937500	-102.322426
21382.470703	-102.083527
21404.003906	-102.130035
21425.537109	-102.215317
21447.070312	-102.475754
21468.603516	-102.253296
21490.136719	-102.111855
21511.669922	-102.599258
21533.203125	-102.834503
21554.736328	-102.287216
21576.269531	-102.320679
21597.802734	-102.344162
21619.335938	-102.634209
21640.869141	-102.510162
21662.402344	-102.294876
