Frequency (Hz)	Level (dB)
43.066406	-47.452950
86.132813	-51.212421
129.199219	-64.400223
172.265625	-72.709686
215.332031	-74.942703
258.398438	-75.742157
301.464844	-70.737160
344.531250	-68.228157
387.597656	-71.411797
430.664063	-72.645065
473.730469	-71.443649
516.796875	-74.941261
559.863281	-82.235878
602.929688	-81.046043
645.996094	-75.787086
689.062500	-79.714577
732.128906	-82.228271
775.195313	-82.922592
818.261719	-85.409935
861.328125	-80.261391
904.394531	-72.761772
947.460938	-71.134369
990.527344	-75.121590
1033.593750	-78.228920
1076.660156	-81.328125
1119.726563	-86.017204
1162.792969	-86.834259
1205.859375	-83.306427
1248.925781	-80.873741
1291.992188	-84.090271
1335.058594	-85.094780
1378.125000	-85.689407
1421.191406	-80.533768
1464.257813	-72.995667
1507.324219	-71.683838
1550.390625	-75.293678
1593.457031	-79.241837
1636.523438	-80.872009
1679.589844	-82.335075
1722.656250	-83.044533
1765.722656	-80.646614
1808.789063	-77.545303
1851.855469	-77.458412
1894.921875	-78.276703
1937.988281	-77.429802
1981.054688	-75.368172
2024.121094	-73.189194
2067.187500	-69.880997
2110.253906	-66.002251
2153.320313	-62.431877
2196.386719	-62.086887
2239.453125	-65.323608
2282.519531	-69.262909
2325.585938	-72.412216
2368.652344	-74.549141
2411.718750	-73.724846
2454.785156	-72.489639
2497.851563	-72.788857
2540.917969	-73.071510
2583.984375	-73.324257
2627.050781	-72.696938
2670.117188	-73.251045
2713.183594	-77.616905
2756.250000	-82.119385
2799.316406	-79.770691
2842.382813	-79.265961
2885.449219	-80.389633
2928.515625	-81.360336
2971.582031	-79.195946
3014.648438	-76.570526
3057.714844	-75.998680
3100.781250	-77.540321
3143.847656	-79.435532
3186.914063	-77.300659
3229.980469	-74.000679
3273.046875	-73.501404
3316.113281	-73.631332
3359.179688	-73.437988
3402.246094	-73.268631
3445.312500	-74.109261
3488.378906	-76.890541
3531.445313	-80.964798
3574.511719	-84.512344
3617.578125	-86.549515
3660.644531	-87.850685
3703.710938	-84.141823
3746.777344	-82.627335
3789.843750	-83.886841
3832.910156	-86.358665
3875.976563	-87.555870
3919.042969	-88.365234
3962.109375	-85.638611
4005.175781	-81.852623
4048.242188	-78.422272
4091.308594	-75.534157
4134.375000	-74.590424
4177.441406	-75.985435
4220.507813	-78.690414
4263.574219	-80.107925
4306.640625	-80.273705
4349.707031	-80.261337
4392.773438	-81.104782
4435.839844	-82.434433
4478.906250	-80.766884
4521.972656	-79.254486
4565.039063	-79.024406
4608.105469	-79.001228
4651.171875	-79.178207
4694.238281	-79.833359
4737.304688	-79.927383
4780.371094	-79.249252
4823.437500	-78.955482
4866.503906	-79.090248
4909.570313	-78.407082
4952.636719	-78.151024
4995.703125	-79.930588
5038.769531	-83.500420
5081.835938	-90.225983
5124.902344	-100.285049
5167.968750	-97.662300
5211.035156	-91.426323
5254.101563	-86.191803
5297.167969	-80.658440
5340.234375	-76.135277
5383.300781	-73.633377
5426.367188	-72.997261
5469.433594	-73.671394
5512.500000	-74.974022
5555.566406	-75.333122
5598.632813	-75.815468
5641.699219	-77.996109
5684.765625	-83.464142
5727.832031	-91.007225
5770.898438	-89.996849
5813.964844	-87.419739
