Frequency (Hz)	Level (dB)
43.066406	-44.367310
86.132812	-48.272629
129.199219	-66.128090
172.265625	-74.116508
215.332031	-75.244240
258.398438	-72.882088
301.464844	-69.704277
344.531250	-67.440674
387.597656	-71.037445
430.664062	-71.913292
473.730469	-72.878853
516.796875	-82.279877
559.863281	-83.811630
602.929688	-76.989166
645.996094	-70.432587
689.062500	-74.933044
732.128906	-77.586700
775.195312	-77.844223
818.261719	-83.401085
861.328125	-85.627182
904.394531	-78.588783
947.460938	-73.378845
990.527344	-78.113266
1033.593750	-87.874008
1076.660156	-90.515434
1119.726562	-85.547737
1162.792969	-83.380936
1205.859375	-84.544220
1248.925781	-81.523613
1291.992188	-85.535118
1335.058594	-87.278496
1378.125000	-83.890045
1421.191406	-83.050560
1464.257812	-87.241013
1507.324219	-88.908791
1550.390625	-87.110466
1593.457031	-89.438538
1636.523438	-88.369804
1679.589844	-88.393341
1722.656250	-87.156029
1765.722656	-87.102715
1808.789062	-92.001343
1851.855469	-94.441559
1894.921875	-92.781403
1937.988281	-87.600159
1981.054688	-85.576065
2024.121094	-81.636383
2067.187500	-79.537140
2110.253906	-81.929657
2153.320312	-85.442581
2196.386719	-87.683281
2239.453125	-88.467880
2282.519531	-87.390030
2325.585938	-87.838081
2368.652344	-91.254173
2411.718750	-93.306702
2454.785156	-87.818558
2497.851562	-86.184448
2540.917969	-88.043953
2583.984375	-90.930573
2627.050781	-93.448792
2670.117188	-96.038757
2713.183594	-97.731148
2756.250000	-97.416161
2799.316406	-97.077301
2842.382812	-96.544579
2885.449219	-96.324409
2928.515625	-96.711617
2971.582031	-96.174133
3014.648438	-95.826294
3057.714844	-95.672249
3100.781250	-95.599861
3143.847656	-96.098030
3186.914062	-97.487366
3229.980469	-96.765747
3273.046875	-96.425621
3316.113281	-99.196487
3359.179688	-100.254738
3402.246094	-94.242798
3445.312500	-89.819481
3488.378906	-87.657639
3531.445312	-87.179276
3574.511719	-88.917442
3617.578125	-91.413895
3660.644531	-94.030052
3703.710938	-96.597580
3746.777344	-95.903664
3789.843750	-92.707031
3832.910156	-89.516678
3875.976562	-86.332024
3919.042969	-84.042786
3962.109375	-81.898918
4005.175781	-79.430885
4048.242188	-78.204010
4091.308594	-80.058128
4134.375000	-84.673393
4177.441406	-87.954872
4220.507812	-90.880768
4263.574219	-93.540710
4306.640625	-94.611206
4349.707031	-92.884018
4392.773438	-91.245270
4435.839844	-89.914406
4478.906250	-88.173485
4521.972656	-86.390198
4565.039062	-85.215820
4608.105469	-85.527985
4651.171875	-87.382294
4694.238281	-88.798752
4737.304688	-88.455742
4780.371094	-88.465347
4823.437500	-88.626801
4866.503906	-88.274513
4909.570312	-88.426933
4952.636719	-89.937546
4995.703125	-93.130722
5038.769531	-94.350258
5081.835938	-93.718475
5124.902344	-92.510887
5167.968750	-88.565674
5211.035156	-84.052620
5254.101562	-80.640572
5297.167969	-78.272911
5340.234375	-75.978645
5383.300781	-74.542000
5426.367188	-74.595840
5469.433594	-76.311501
5512.500000	-80.064362
5555.566406	-83.561058
5598.632812	-83.173996
5641.699219	-79.410866
5684.765625	-75.992989
5727.832031	-73.420082
5770.898438	-71.731735
5813.964844	-71.765152
5857.031250	-72.920937
5900.097656	-73.212425
5943.164062	-72.824165
5986.230469	-73.514519
6029.296875	-75.402580
6072.363281	-76.887527
6115.429688	-76.480873
6158.496094	-75.538139
6201.562500	-74.676361
6244.628906	-73.789764
6287.695312	-72.709518
6330.761719	-71.662720
6373.828125	-71.038803
6416.894531	-70.834190
6459.960938	-71.781677
6503.027344	-74.943329
6546.093750	-78.633690
6589.160156	-78.124565
6632.226562	-76.471001
6675.292969	-75.189430
6718.359375	-72.434845
6761.425781	-70.764214
6804.492188	-70.573082
6847.558594	-70.946968
6890.625000	-71.247681
6933.691406	-71.120277
6976.757812	-70.896584
7019.824219	-69.665802
7062.890625	-68.229248
7105.957031	-67.201324
7149.023438	-67.295013
7192.089844	-67.138321
7235.156250	-67.773582
7278.222656	-68.784607
7321.289062	-69.998718
7364.355469	-71.281929
7407.421875	-71.734291
7450.488281	-71.580200
7493.554688	-71.549614
7536.621094	-71.456779
7579.687500	-71.550423
7622.753906	-72.039429
7665.820312	-72.357483
7708.886719	-72.987350
7751.953125	-74.112946
7795.019531	-75.674141
7838.085938	-77.940529
7881.152344	-81.434738
7924.218750	-86.329369
7967.285156	-92.378113
8010.351562	-98.284119
8053.417969	-92.466232
8096.484375	-87.556824
8139.550781	-84.199295
8182.617188	-81.912895
8225.683594	-80.609871
8268.750000	-80.439560
8311.816406	-81.745399
