Frequency (Hz)	Level (dB)
43.066406	-44.314449
86.132812	-48.232613
129.199219	-66.187233
172.265625	-74.399628
215.332031	-75.562172
258.398438	-72.665207
301.464844	-69.932114
344.531250	-68.025429
387.597656	-71.718475
430.664062	-72.686882
473.730469	-73.632401
516.796875	-81.390228
559.863281	-81.782425
602.929688	-76.659538
645.996094	-70.311089
689.062500	-74.928780
732.128906	-77.673767
775.195312	-78.005905
818.261719	-83.041611
861.328125	-84.657722
904.394531	-78.241356
947.460938	-73.173050
990.527344	-78.077858
1033.593750	-86.585045
1076.660156	-88.935135
1119.726562	-85.474403
1162.792969	-83.575989
1205.859375	-84.986061
1248.925781	-82.088257
1291.992188	-86.032524
1335.058594	-87.487053
1378.125000	-83.743896
1421.191406	-82.723267
1464.257812	-86.947319
1507.324219	-88.577003
1550.390625	-86.762962
1593.457031	-89.441307
1636.523438	-89.432785
1679.589844	-89.036835
1722.656250	-86.822960
1765.722656	-86.563515
1808.789062	-91.154778
1851.855469	-93.960197
1894.921875	-93.135956
1937.988281	-88.044487
1981.054688	-86.108383
2024.121094	-84.018341
2067.187500	-81.463524
2110.253906	-83.222130
2153.320312	-86.527710
2196.386719	-88.817123
2239.453125	-89.976448
2282.519531	-88.343231
2325.585938	-87.808914
2368.652344	-90.786797
2411.718750	-93.092369
2454.785156	-87.331757
2497.851562	-85.400864
2540.917969	-87.434502
2583.984375	-89.952126
2627.050781	-91.960831
2670.117188	-94.540520
2713.183594	-96.390182
2756.250000	-95.922882
2799.316406	-95.489319
2842.382812	-95.006317
2885.449219	-95.062172
2928.515625	-95.207336
2971.582031	-94.373329
3014.648438	-94.148170
3057.714844	-93.977913
3100.781250	-94.070274
3143.847656	-95.262993
3186.914062	-96.898026
3229.980469	-97.015747
3273.046875	-97.584526
3316.113281	-99.176476
3359.179688	-96.995972
3402.246094	-92.754234
3445.312500	-89.373970
3488.378906	-87.456154
3531.445312	-86.840500
3574.511719	-88.299789
3617.578125	-90.762367
3660.644531	-93.330063
3703.710938	-95.088997
3746.777344	-94.570351
3789.843750	-92.093582
3832.910156	-89.275307
3875.976562	-86.737900
3919.042969	-84.929375
3962.109375	-83.078796
4005.175781	-80.668983
4048.242188	-79.618690
4091.308594	-81.928665
4134.375000	-87.427917
4177.441406	-91.487976
4220.507812	-93.368736
4263.574219	-93.578743
4306.640625	-92.276428
4349.707031	-90.501465
4392.773438	-89.449646
4435.839844	-88.778168
4478.906250	-87.369453
4521.972656	-85.749947
4565.039062	-84.807610
4608.105469	-85.164726
4651.171875	-86.912132
4694.238281	-88.650139
4737.304688	-88.356804
4780.371094	-88.363457
4823.437500	-88.360138
4866.503906	-88.027283
4909.570312	-88.203964
4952.636719	-89.452065
4995.703125	-92.557121
5038.769531	-94.435432
5081.835938	-93.332245
5124.902344	-91.663452
5167.968750	-88.205704
5211.035156	-84.385719
5254.101562	-81.254013
5297.167969	-79.008934
5340.234375	-76.851883
5383.300781	-75.376953
5426.367188	-75.145561
5469.433594	-76.634445
5512.500000	-79.916458
5555.566406	-82.696251
5598.632812	-82.506180
5641.699219	-79.025436
5684.765625	-75.850410
5727.832031	-73.500816
5770.898438	-72.021454
5813.964844	-72.195747
5857.031250	-73.237732
5900.097656	-73.387360
5943.164062	-73.079330
5986.230469	-73.978729
6029.296875	-76.070396
6072.363281	-77.494011
6115.429688	-77.018959
6158.496094	-75.982193
6201.562500	-75.008949
6244.628906	-74.123367
6287.695312	-72.798241
6330.761719	-71.917747
6373.828125	-70.848717
6416.894531	-70.547638
6459.960938	-71.379669
6503.027344	-74.103783
6546.093750	-77.069786
6589.160156	-76.448471
6632.226562	-75.178596
6675.292969	-73.915024
6718.359375	-71.128044
6761.425781	-69.239655
6804.492188	-69.178719
6847.558594	-69.676544
6890.625000	-70.275940
6933.691406	-70.675163
6976.757812	-70.934227
7019.824219	-70.471573
7062.890625	-68.603561
7105.957031	-67.315796
7149.023438	-67.069733
7192.089844	-66.898300
7235.156250	-67.228539
7278.222656	-68.494568
7321.289062	-69.646851
7364.355469	-70.914879
7407.421875	-71.557510
7450.488281	-71.516937
7493.554688	-71.441055
7536.621094	-71.165871
7579.687500	-71.388313
7622.753906	-71.959427
7665.820312	-72.318466
7708.886719	-73.029892
7751.953125	-74.022873
7795.019531	-75.378685
7838.085938	-77.629448
7881.152344	-81.069946
7924.218750	-85.755608
7967.285156	-91.186523
8010.351562	-98.240608
8053.417969	-95.965042
8096.484375	-89.772469
8139.550781	-85.331398
8182.617188	-82.511642
8225.683594	-80.881096
8268.750000	-80.451668
8311.816406	-81.787086
8354.882812	-84.286804
8397.949219	-87.372269
8441.015625	-91.683266
8484.082031	-96.761780
8527.148438	-93.550980
8570.214844	-89.694351
8613.281250	-87.590218
8656.347656	-87.068169
8699.414062	-87.404762
8742.480469	-87.873726
8785.546875	-87.892853
8828.613281	-87.807770
8871.679688	-87.520889
8914.746094	-87.567276
8957.812500	-87.594299
9000.878906	-87.316200
9043.945312	-86.678673
9087.011719	-85.821274
9130.078125	-84.371384
9173.144531	-82.879929
9216.210938	-81.753296
9259.277344	-80.972755
9302.343750	-80.680161
9345.410156	-81.003700
9388.476562	-81.674423
9431.542969	-82.153328
9474.609375	-82.141251
9517.675781	-81.535927
9560.742188	-81.276115
9603.808594	-81.368713
9646.875000	-81.693184
9689.941406	-82.887474
9733.007812	-84.572861
9776.074219	-85.836357
9819.140625	-86.705086
9862.207031	-88.065308
9905.273438	-89.894234
9948.339844	-91.385323
9991.406250	-93.315208
10034.472656	-95.845901
10077.539062	-99.152351
10120.605469	-101.823921
10163.671875	-100.660530
10206.738281	-96.493179
10249.804688	-92.336357
10292.871094	-89.148018
10335.937500	-87.118393
10379.003906	-85.732864
10422.070312	-84.497284
10465.136719	-83.655830
10508.203125	-83.219254
10551.269531	-82.836891
10594.335938	-82.458229
10637.402344	-82.300224
10680.468750	-83.008202
10723.535156	-83.564682
10766.601562	-84.964005
10809.667969	-86.949837
10852.734375	-88.995216
10895.800781	-91.284737
10938.867188	-92.225487
10981.933594	-90.327011
11025.000000	-87.539009
11068.066406	-85.758591
11111.132812	-84.258644
11154.199219	-83.100914
11197.265625	-82.155327
11240.332031	-81.231201
11283.398438	-80.770630
11326.464844	-80.298096
11369.531250	-80.502846
11412.597656	-81.455521
11455.664062	-83.254494
11498.730469	-84.437714
11541.796875	-83.780869
11584.863281	-82.419609
11627.929688	-81.231651
11670.996094	-81.143936
11714.062500	-81.381363
11757.128906	-81.961739
11800.195312	-82.559113
11843.261719	-82.380447
11886.328125	-82.198669
11929.394531	-81.973602
11972.460938	-82.215622
12015.527344	-82.209282
12058.593750	-82.133118
12101.660156	-81.801178
12144.726562	-80.275314
12187.792969	-78.118134
12230.859375	-76.224709
12273.925781	-74.911598
12316.992188	-73.919800
12360.058594	-73.336594
12403.125000	-72.999725
12446.191406	-72.448708
12489.257812	-72.168945
12532.324219	-72.649796
12575.390625	-72.990898
12618.457031	-73.509666
12661.523438	-73.861435
12704.589844	-74.038147
12747.656250	-74.175888
12790.722656	-74.245613
12833.789062	-74.495399
12876.855469	-74.969452
12919.921875	-75.766586
12962.988281	-76.783333
13006.054688	-77.814148
13049.121094	-78.397537
13092.187500	-78.576736
13135.253906	-78.462326
13178.320312	-78.164391
13221.386719	-77.713226
13264.453125	-77.763832
13307.519531	-78.036224
13350.585938	-78.462029
13393.652344	-78.760857
13436.718750	-79.464348
13479.785156	-80.268082
13522.851562	-81.162910
13565.917969	-82.286026
13608.984375	-83.007332
13652.050781	-83.513168
13695.117188	-83.678856
13738.183594	-83.683861
13781.250000	-84.016113
13824.316406	-84.356239
13867.382812	-84.956177
13910.449219	-86.055885
13953.515625	-87.546608
13996.582031	-89.274536
14039.648438	-91.083740
14082.714844	-93.243034
14125.781250	-95.307419
14168.847656	-97.423210
14211.914062	-99.523018
14254.980469	-100.100357
14298.046875	-100.623367
14341.113281	-99.583061
14384.179688	-98.445358
14427.246094	-96.651016
14470.312500	-95.457825
14513.378906	-94.772057
14556.445312	-93.647194
14599.511719	-93.663277
14642.578125	-93.981567
14685.644531	-94.836533
14728.710938	-95.413025
14771.777344	-95.980339
14814.843750	-96.351891
14857.910156	-95.309303
14900.976562	-93.903038
14944.042969	-92.263542
14987.109375	-91.018059
15030.175781	-89.959541
15073.242188	-88.969482
15116.308594	-87.999252
15159.375000	-87.687698
15202.441406	-87.164658
15245.507812	-86.881363
15288.574219	-87.144653
15331.640625	-87.279221
15374.707031	-87.434685
15417.773438	-87.744629
15460.839844	-88.298332
15503.906250	-88.886246
15546.972656	-89.209518
15590.039062	-89.234184
15633.105469	-89.459579
15676.171875	-89.885818
15719.238281	-89.895004
15762.304688	-90.190414
15805.371094	-90.943710
15848.437500	-91.384705
15891.503906	-92.522652
15934.570312	-93.230125
15977.636719	-94.196823
16020.703125	-95.620895
16063.769531	-96.623642
16106.835938	-98.032013
16149.902344	-98.925613
16192.968750	-99.068611
16236.035156	-98.287613
16279.101562	-98.052849
16322.167969	-96.920845
16365.234375	-96.164261
16408.300781	-96.437401
16451.367188	-95.939659
16494.433594	-95.868065
16537.500000	-95.298561
16580.566406	-95.671249
16623.632812	-95.902946
16666.699219	-95.646866
16709.765625	-95.749474
16752.832031	-95.401924
16795.898438	-95.718864
16838.964844	-95.107872
16882.031250	-95.615662
16925.097656	-95.413322
16968.164062	-95.572853
17011.230469	-95.973534
17054.296875	-95.670502
17097.363281	-96.375549
17140.429688	-96.571198
17183.496094	-96.766907
17226.562500	-95.996704
17269.628906	-96.034157
17312.695312	-96.141884
17355.761719	-95.388191
17398.828125	-95.835678
17441.894531	-95.420700
17484.960938	-95.965683
17528.027344	-95.545349
17571.093750	-95.474037
17614.160156	-95.390686
17657.226562	-94.811523
17700.292969	-95.611389
17743.359375	-95.119957
17786.425781	-95.036591
17829.492188	-94.554039
17872.558594	-94.503632
