Frequency (Hz)	Level (dB)
43.066406	-44.910263
86.132812	-48.783581
129.199219	-65.749977
172.265625	-73.399796
215.332031	-76.773125
258.398438	-76.873756
301.464844	-70.753975
344.531250	-67.107101
387.597656	-70.880249
430.664062	-73.428581
473.730469	-74.174026
516.796875	-82.405907
559.863281	-85.115509
602.929688	-77.713905
645.996094	-71.124214
689.062500	-75.361763
732.128906	-77.693260
775.195312	-78.000587
818.261719	-85.700874
861.328125	-90.202827
904.394531	-84.892967
947.460938	-77.625450
990.527344	-80.873779
1033.593750	-87.940163
1076.660156	-90.944603
1119.726562	-91.896011
1162.792969	-90.104866
1205.859375	-89.618347
1248.925781	-85.216202
1291.992188	-88.239403
1335.058594	-90.001213
1378.125000	-91.338379
1421.191406	-93.329910
1464.257812	-89.607956
1507.324219	-85.758781
1550.390625	-85.324493
1593.457031	-86.897217
1636.523438	-86.188141
1679.589844	-85.499046
1722.656250	-84.098244
1765.722656	-82.920761
1808.789062	-83.473557
1851.855469	-82.901588
1894.921875	-80.153450
1937.988281	-76.636475
1981.054688	-74.041023
2024.121094	-72.673874
2067.187500	-72.243912
2110.253906	-71.608917
2153.320312	-71.272064
2196.386719	-72.996284
2239.453125	-76.888985
2282.519531	-81.004707
2325.585938	-85.284309
2368.652344	-86.808174
2411.718750	-84.682030
2454.785156	-84.198524
2497.851562	-85.910614
2540.917969	-88.436142
2583.984375	-90.290489
2627.050781	-90.209213
2670.117188	-87.635551
2713.183594	-85.763687
2756.250000	-85.406395
2799.316406	-86.997635
2842.382812	-89.102730
2885.449219	-87.340195
2928.515625	-85.084869
2971.582031	-83.806816
3014.648438	-83.330582
3057.714844	-82.463806
3100.781250	-81.274025
3143.847656	-79.882263
3186.914062	-79.937378
3229.980469	-81.578346
3273.046875	-80.348213
3316.113281	-76.435516
3359.179688	-74.213387
3402.246094	-74.957184
3445.312500	-78.795570
3488.378906	-82.406219
3531.445312	-85.189384
3574.511719	-88.971252
3617.578125	-89.379311
3660.644531	-88.548134
3703.710938	-89.788925
3746.777344	-92.141891
3789.843750	-94.319145
3832.910156	-94.032379
3875.976562	-90.928162
3919.042969	-88.727440
3962.109375	-87.967957
4005.175781	-85.464653
4048.242188	-81.678406
4091.308594	-79.465363
4134.375000	-78.767120
4177.441406	-78.786201
4220.507812	-79.233200
4263.574219	-79.546989
4306.640625	-79.914848
4349.707031	-80.249268
4392.773438	-81.461021
4435.839844	-83.973587
4478.906250	-85.824768
4521.972656	-88.333855
4565.039062	-93.501167
4608.105469	-96.762115
4651.171875	-88.465828
4694.238281	-81.970039
4737.304688	-77.975273
4780.371094	-75.125320
4823.437500	-73.641052
4866.503906	-73.874840
4909.570312	-74.224869
4952.636719	-73.156242
4995.703125	-71.599953
5038.769531	-70.401848
5081.835938	-70.242401
5124.902344	-71.223640
5167.968750	-73.520935
5211.035156	-77.920769
5254.101562	-83.751099
5297.167969	-90.380836
5340.234375	-84.659111
5383.300781	-77.990059
5426.367188	-74.328690
5469.433594	-73.311546
5512.500000	-74.525085
5555.566406	-77.125359
5598.632812	-76.766060
5641.699219	-71.616066
5684.765625	-67.252037
5727.832031	-64.284676
5770.898438	-62.640438
5813.964844	-62.614361
5857.031250	-63.940327
5900.097656	-66.236938
5943.164062	-69.224030
5986.230469	-73.045135
6029.296875	-78.642174
6072.363281	-81.707512
6115.429688	-77.868828
6158.496094	-75.397217
6201.562500	-75.191551
6244.628906	-76.969879
6287.695312	-78.538139
6330.761719	-79.793999
6373.828125	-80.823921
6416.894531	-81.442650
6459.960938	-82.780602
6503.027344	-85.030937
6546.093750	-86.462029
6589.160156	-88.649529
6632.226562	-90.619797
6675.292969	-88.773560
6718.359375	-86.543381
6761.425781	-85.128075
6804.492188	-83.461731
6847.558594	-82.283806
6890.625000	-82.218704
6933.691406	-82.988899
6976.757812	-83.554314
7019.824219	-84.675629
7062.890625	-86.313042
7105.957031	-87.850044
7149.023438	-87.549629
7192.089844	-85.663010
7235.156250	-84.735878
7278.222656	-85.114853
7321.289062	-85.697525
7364.355469	-85.972115
7407.421875	-85.369240
7450.488281	-85.194504
7493.554688	-85.994034
7536.621094	-87.843597
7579.687500	-89.686119
7622.753906	-88.897720
7665.820312	-87.094574
7708.886719	-86.447006
7751.953125	-86.385887
7795.019531	-86.744049
7838.085938	-87.189255
7881.152344	-87.639320
7924.218750	-88.120605
7967.285156	-88.993454
8010.351562	-90.237114
8053.417969	-91.142662
8096.484375	-91.934692
8139.550781	-93.613220
8182.617188	-95.017426
8225.683594	-95.399269
8268.750000	-95.998077
8311.816406	-99.153763
8354.882812	-103.825493
8397.949219	-99.888641
8441.015625	-95.566032
8484.082031	-92.917244
8527.148438	-90.801933
8570.214844	-89.206726
8613.281250	-88.155342
8656.347656	-88.255669
8699.414062	-89.190208
8742.480469	-91.034599
8785.546875	-92.712540
8828.613281	-94.475693
8871.679688	-95.240501
8914.746094	-95.293770
8957.812500	-94.848427
9000.878906	-93.834389
9043.945312	-92.391068
9087.011719	-91.153061
9130.078125	-89.910278
9173.144531	-88.803154
9216.210938	-88.321297
9259.277344	-88.037704
9302.343750	-87.820793
9345.410156	-87.918831
9388.476562	-88.253914
9431.542969	-89.018387
9474.609375	-90.026245
9517.675781	-90.614845
9560.742188	-91.074844
9603.808594	-91.275406
9646.875000	-91.309418
9689.941406	-91.867592
9733.007812	-92.245804
9776.074219	-91.764168
9819.140625	-91.671829
9862.207031	-92.899361
9905.273438	-95.409592
9948.339844	-98.405617
9991.406250	-99.910416
10034.472656	-98.079178
10077.539062	-95.902321
10120.605469	-94.569496
10163.671875	-93.607895
10206.738281	-93.091171
10249.804688	-91.791740
10292.871094	-90.229988
10335.937500	-89.409264
10379.003906	-89.003708
10422.070312	-87.968910
10465.136719	-86.678642
10508.203125	-85.605713
10551.269531	-84.892548
10594.335938	-84.733078
10637.402344	-85.258659
10680.468750	-86.612511
10723.535156	-87.820961
10766.601562	-89.637215
10809.667969	-91.597244
10852.734375	-92.663528
10895.800781	-92.875847
10938.867188	-92.568398
10981.933594	-90.982384
11025.000000	-87.734871
11068.066406	-85.160660
11111.132812	-82.924248
11154.199219	-81.281395
11197.265625	-80.070663
11240.332031	-79.045227
11283.398438	-78.395554
11326.464844	-77.797699
11369.531250	-77.456390
11412.597656	-77.500473
11455.664062	-77.863373
11498.730469	-78.194824
11541.796875	-78.511200
11584.863281	-79.013161
11627.929688	-79.480637
11670.996094	-80.289413
11714.062500	-81.415649
11757.128906	-83.158699
11800.195312	-84.819778
11843.261719	-84.155922
11886.328125	-82.080605
11929.394531	-80.338120
11972.460938	-79.644684
12015.527344	-79.461571
12058.593750	-79.769295
12101.660156	-80.658615
12144.726562	-81.642845
12187.792969	-82.984451
12230.859375	-84.654549
12273.925781	-86.235596
12316.992188	-86.834846
12360.058594	-86.467491
12403.125000	-85.538162
12446.191406	-84.927773
12489.257812	-84.949631
12532.324219	-85.652847
12575.390625	-85.631256
12618.457031	-84.468559
12661.523438	-83.026558
12704.589844	-81.550301
12747.656250	-80.674171
12790.722656	-80.074219
12833.789062	-79.674805
12876.855469	-79.713539
12919.921875	-80.071098
12962.988281	-80.890694
13006.054688	-81.877312
13049.121094	-82.857201
13092.187500	-83.898460
13135.253906	-84.795937
13178.320312	-85.736572
13221.386719	-86.727203
13264.453125	-88.219643
13307.519531	-89.848366
13350.585938	-91.272713
13393.652344	-91.302246
13436.718750	-90.418869
13479.785156	-88.872192
13522.851562	-87.215332
13565.917969	-85.841164
13608.984375	-84.739403
13652.050781	-84.305336
13695.117188	-83.875168
13738.183594	-83.405128
13781.250000	-83.063683
13824.316406	-82.671242
13867.382812	-82.413315
13910.449219	-82.256104
13953.515625	-82.086617
13996.582031	-81.819489
14039.648438	-81.579391
14082.714844	-81.411324
14125.781250	-81.141006
14168.847656	-80.809738
14211.914062	-80.807617
14254.980469	-80.953613
14298.046875	-81.943840
14341.113281	-82.697395
14384.179688	-83.291901
14427.246094	-84.335808
14470.312500	-84.987640
14513.378906	-85.248405
14556.445312	-84.520836
14599.511719	-84.085449
14642.578125	-83.611641
14685.644531	-82.584076
14728.710938	-81.491089
14771.777344	-80.535477
14814.843750	-79.710503
14857.910156	-78.649315
14900.976562	-78.339973
14944.042969	-78.495445
14987.109375	-78.632553
15030.175781	-79.293556
15073.242188	-79.964767
15116.308594	-80.433289
15159.375000	-81.446419
15202.441406	-81.994659
15245.507812	-82.578979
15288.574219	-83.343010
15331.640625	-83.924019
15374.707031	-84.395683
15417.773438	-85.353760
15460.839844	-86.554390
15503.906250	-87.365067
15546.972656	-86.876694
15590.039062	-85.381378
15633.105469	-83.899452
15676.171875	-82.749321
15719.238281	-81.516495
15762.304688	-80.573891
15805.371094	-79.699661
15848.437500	-78.647202
15891.503906	-78.392570
15934.570312	-78.096893
15977.636719	-77.716347
16020.703125	-77.950478
16063.769531	-78.467102
16106.835938	-78.981201
16149.902344	-79.568527
16192.968750	-80.425362
16236.035156	-81.502258
16279.101562	-82.482811
16322.167969	-83.442200
16365.234375	-84.066864
16408.300781	-84.544571
16451.367188	-84.852432
16494.433594	-85.340858
